group,metric,value,radar_x,radar_y
cap,cap_planning,0.25,-0.22524221697560476,-0.10847093477938956
cap,cap_planning,0.5,-0.4504844339512095,-0.21694186955877912
cap,cap_planning,0.75,-0.6757266509268143,-0.32541280433816866
cap,cap_planning,1,-0.900968867902419,-0.43388373911755823
cap,cap_taskdisc,0.25,-0.25,-3.061616997868383e-17
cap,cap_taskdisc,0.5,-0.5,-6.123233995736766e-17
cap,cap_taskdisc,0.75,-0.75,-9.184850993605148e-17
cap,cap_taskdisc,1,-1,-1.2246467991473532e-16
cap,cap_learnatwk,0.25,-0.2252422169756048,0.1084709347793895
cap,cap_learnatwk,0.5,-0.4504844339512096,0.216941869558779
cap,cap_learnatwk,0.75,-0.6757266509268144,0.3254128043381685
cap,cap_learnatwk,1,-0.9009688679024191,0.433883739117558
