group,metric,label,cc_iso3c,raw_value,value,imputed,radar_x,radar_y,data_label,hover_label
0_indicators,ind_cap,Capabilities,InCiSE,0.6199133884576957,0.6199133884576957,,0.1604453912468888,0.5987903519736559,0.62,"InCiSE -
Capabilities: 0.62"
0_indicators,ind_cap,Capabilities,JPN,0.47721630342183086,0.47721630342183086,,0.12351266795899306,0.4609555522013467,0.48,"JPN - Capabilities:
0.48"
0_indicators,ind_cap,Capabilities,KOR,0.6362046981273733,0.6362046981273733,,0.16466189245906424,0.6145265487276703,0.64,"KOR - Capabilities:
0.64"
0_indicators,ind_cap,Capabilities,LTU,0.2908033214167908,0.2908033214167908,,0.07526543796173522,0.2808944385271192,0.29,"LTU - Capabilities:
0.29"
0_indicators,ind_cap,Capabilities,LVA,0.6649318315796057,,0.6649318315796057,0.1720970217077037,0.6422748288444342,0.66,"LVA - Capabilities:
0.66 (imputed)"
0_indicators,ind_cap,Capabilities,MEX,0.4889287931581656,,0.4889287931581656,0.1265440833683243,0.4722689485278181,0.49,"MEX - Capabilities:
0.49 (imputed)"
0_indicators,ind_cap,Capabilities,NLD,0.6896328429924294,0.6896328429924294,,0.1784901138946372,0.6661341737035417,0.69,"NLD - Capabilities:
0.69"
0_indicators,ind_cap,Capabilities,NOR,0.7090283915738099,0.7090283915738099,,0.18351005125770964,0.6848688349933414,0.71,"NOR - Capabilities:
0.71"
0_indicators,ind_cap,Capabilities,NZL,1,1,,0.25881904510252074,0.9659258262890683,1.00,"NZL - Capabilities:
1.00"
0_indicators,ind_cap,Capabilities,POL,0.7265076082478796,0.7265076082478796,,0.18803400542643242,0.7017524618021279,0.73,"POL - Capabilities:
0.73"
0_indicators,ind_cap,Capabilities,PRT,0.6164506376942563,,0.6164506376942563,0.15954916540086742,0.5954455915812477,0.62,"PRT - Capabilities:
0.62 (imputed)"
0_indicators,ind_cap,Capabilities,ROU,0.6349351736006221,,0.6349351736006221,0.16433331533331624,0.613300282200174,0.63,"ROU - Capabilities:
0.63 (imputed)"
0_indicators,ind_cap,Capabilities,SVK,0.7132762965211441,0.7132762965211441,,0.18460948995986495,0.6889719960895926,0.71,"SVK - Capabilities:
0.71"
0_indicators,ind_cap,Capabilities,SVN,0.6879648255920634,0.6879648255920634,,0.17805839922386008,0.6645229926178287,0.69,"SVN - Capabilities:
0.69"
0_indicators,ind_cap,Capabilities,SWE,0.6976274773949507,0.6976274773949507,,0.1805592775366415,0.6738563975446761,0.70,"SWE - Capabilities:
0.70"
0_indicators,ind_cap,Capabilities,TUR,0,0,,0,0,0.00,"TUR - Capabilities:
0.00"
0_indicators,ind_cap,Capabilities,USA,0.938599636191702,0.938599636191702,,0.24292746157270967,0.9066176291430886,0.94,"USA - Capabilities:
0.94"
0_indicators,ind_crm,Crisis and risk management,AUS,0.9347420756815392,0.9347420756815392,,0.6609624603748053,0.6609624603748055,0.93,"AUS - Crisis and
risk management:
0.93"
0_indicators,ind_crm,Crisis and risk management,AUT,0.6103169674556302,0.6103169674556302,,0.43155926636108555,0.43155926636108566,0.61,"AUT - Crisis and
risk management:
0.61"
0_indicators,ind_crm,Crisis and risk management,BEL,0.6920240323112185,,0.6920240323112185,0.489334885991321,0.48933488599132113,0.69,"BEL - Crisis and
risk management:
0.69 (imputed)"
0_indicators,ind_crm,Crisis and risk management,BGR,0.5094261459185776,0.5094261459185776,,0.36021868229275383,0.36021868229275394,0.51,"BGR - Crisis and
risk management:
0.51"
0_indicators,ind_crm,Crisis and risk management,CAN,0.7876942208868424,0.7876942208868424,,0.5569839250905404,0.5569839250905406,0.79,"CAN - Crisis and
risk management:
0.79"
0_indicators,ind_crm,Crisis and risk management,CHE,0.9098819140364116,0.9098819140364116,,0.6433836714941419,0.6433836714941421,0.91,"CHE - Crisis and
risk management:
0.91"
0_indicators,ind_crm,Crisis and risk management,CHL,0.5520198893300619,0.5520198893300619,,0.3903370070951342,0.3903370070951343,0.55,"CHL - Crisis and
risk management:
0.55"
0_indicators,ind_crm,Crisis and risk management,CZE,0.7538844005211902,0.7538844005211902,,0.5330767718392888,0.5330767718392889,0.75,"CZE - Crisis and
risk management:
0.75"
0_indicators,ind_crm,Crisis and risk management,DEU,0,0,,0,0,0.00,"DEU - Crisis and
risk management:
0.00"
0_indicators,ind_crm,Crisis and risk management,DNK,0.3501139428581305,0.3501139428581305,,0.24756794318294348,0.24756794318294356,0.35,"DNK - Crisis and
risk management:
0.35"
0_indicators,ind_crm,Crisis and risk management,ESP,0.8172778125298149,0.8172778125298149,,0.57790268335314,0.5779026833531402,0.82,"ESP - Crisis and
risk management:
0.82"
0_indicators,ind_crm,Crisis and risk management,EST,0.5122021980066547,0.5122021980066547,,0.3621816475491602,0.3621816475491603,0.51,"EST - Crisis and
risk management:
0.51"
0_indicators,ind_crm,Crisis and risk management,FIN,0.9788688626016412,0.9788688626016412,,0.6921648106379833,0.6921648106379835,0.98,"FIN - Crisis and
risk management:
0.98"
0_indicators,ind_crm,Crisis and risk management,FRA,0.7731510249882091,0.7731510249882091,,0.5467003326504924,0.5467003326504927,0.77,"FRA - Crisis and
risk management:
0.77"
0_indicators,ind_crm,Crisis and risk management,GBR,0.8353014303440365,0.8353014303440365,,0.5906473057310907,0.5906473057310909,0.84,"GBR - Crisis and
risk management:
0.84"
0_indicators,ind_crm,Crisis and risk management,GRC,0.4947172173595462,0.4947172173595462,,0.34981789916467426,0.3498178991646744,0.49,"GRC - Crisis and
risk management:
0.49"
0_indicators,ind_crm,Crisis and risk management,HRV,0.3803604733569058,0.3803604733569058,,0.26895547000599324,0.2689554700059933,0.38,"HRV - Crisis and
risk management:
0.38"
0_indicators,ind_crm,Crisis and risk management,HUN,0.5054899534923647,0.5054899534923647,,0.35743537393612357,0.3574353739361237,0.51,"HUN - Crisis and
risk management:
0.51"
